IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.21.47.165,4,4,0.00,4.91,0.00,N/A
104.21.200.201,4,4,0.00,4.91,0.00,N/A
172.64.49.101,4,4,0.00,4.91,0.00,N/A
172.65.23.77,4,4,0.00,4.91,0.00,N/A
172.67.174.33,4,4,0.00,4.91,0.00,N/A
104.18.190.169,4,4,0.00,4.91,0.00,N/A
172.66.158.6,4,4,0.00,4.91,0.00,N/A
172.67.104.248,4,4,0.00,4.91,0.00,N/A
104.25.219.63,4,4,0.00,4.91,0.00,N/A
104.16.37.42,4,4,0.00,4.91,0.00,N/A
104.27.83.197,4,4,0.00,4.91,0.00,N/A
104.16.146.229,4,4,0.00,4.91,0.00,N/A
104.21.43.15,4,4,0.00,4.91,0.00,N/A
162.159.5.74,4,4,0.00,4.91,0.00,N/A
104.25.226.164,4,4,0.00,4.91,0.00,N/A
108.162.198.222,4,4,0.00,4.91,0.00,N/A
172.64.84.77,4,4,0.00,4.91,0.00,N/A
104.20.5.131,4,4,0.00,4.91,0.00,N/A
104.16.222.239,4,4,0.00,4.91,0.00,N/A
162.159.153.149,4,4,0.00,4.91,0.00,N/A
172.67.243.6,4,4,0.00,4.91,0.00,N/A
104.19.107.101,4,4,0.00,4.91,0.00,N/A
104.24.20.99,4,4,0.00,4.91,0.00,N/A
172.66.168.108,4,4,0.00,4.91,0.00,N/A
172.64.38.207,4,4,0.00,4.91,0.00,N/A
172.64.185.227,4,4,0.00,4.91,0.00,N/A
104.27.26.111,4,4,0.00,4.91,0.00,N/A
172.65.22.25,4,4,0.00,4.91,0.00,N/A
172.66.3.131,4,4,0.00,4.91,0.00,N/A
104.21.234.209,4,4,0.00,4.91,0.00,N/A
104.18.60.108,4,4,0.00,4.92,0.00,N/A
104.16.38.139,4,4,0.00,4.92,0.00,N/A
172.67.97.59,4,4,0.00,4.92,0.00,N/A
172.65.81.89,4,4,0.00,4.92,0.00,N/A
104.16.121.117,4,4,0.00,4.92,0.00,N/A
104.25.225.167,4,4,0.00,4.92,0.00,N/A
188.114.96.2,4,4,0.00,4.92,0.00,N/A
172.66.209.2,4,4,0.00,4.92,0.00,N/A
172.64.48.63,4,4,0.00,4.92,0.00,N/A
104.18.246.165,4,4,0.00,4.92,0.00,N/A
172.67.132.45,4,4,0.00,4.92,0.00,N/A
104.21.5.50,4,4,0.00,4.92,0.00,N/A
104.16.205.195,4,4,0.00,4.92,0.00,N/A
162.159.13.148,4,4,0.00,4.92,0.00,N/A
172.65.83.127,4,4,0.00,4.92,0.00,N/A
104.16.142.228,4,4,0.00,4.92,0.00,N/A
104.21.89.218,4,4,0.00,4.92,0.00,N/A
104.16.62.82,4,4,0.00,4.92,0.00,N/A
104.24.173.162,4,4,0.00,4.92,0.00,N/A
104.18.76.236,4,4,0.00,4.92,0.00,N/A
104.16.91.128,4,4,0.00,4.92,0.00,N/A
104.24.128.167,4,4,0.00,4.92,0.00,N/A
104.16.96.94,4,4,0.00,4.92,0.00,N/A
104.19.95.245,4,4,0.00,4.92,0.00,N/A
162.159.130.124,4,4,0.00,4.92,0.00,N/A
172.67.222.187,4,4,0.00,4.92,0.00,N/A
104.18.4.74,4,4,0.00,4.92,0.00,N/A
104.19.30.240,4,4,0.00,4.92,0.00,N/A
104.19.58.89,4,4,0.00,4.92,0.00,N/A
172.65.228.125,4,4,0.00,4.92,0.00,N/A
172.65.173.200,4,4,0.00,4.92,0.00,N/A
172.65.216.246,4,4,0.00,4.92,0.00,N/A
104.27.99.114,4,4,0.00,4.92,0.00,N/A
104.18.148.15,4,4,0.00,4.92,0.00,N/A
104.24.37.223,4,4,0.00,4.92,0.00,N/A
172.67.74.147,4,4,0.00,4.92,0.00,N/A
104.25.231.163,4,4,0.00,4.92,0.00,N/A
104.21.193.210,4,4,0.00,4.92,0.00,N/A
104.18.17.218,4,4,0.00,4.92,0.00,N/A
104.16.72.98,4,4,0.00,4.92,0.00,N/A
104.27.81.79,4,4,0.00,4.92,0.00,N/A
162.159.62.218,4,4,0.00,4.92,0.00,N/A
104.21.65.167,4,4,0.00,4.92,0.00,N/A
104.18.102.4,4,4,0.00,4.92,0.00,N/A
172.67.128.29,4,4,0.00,4.92,0.00,N/A
104.24.145.43,4,4,0.00,4.92,0.00,N/A
172.67.209.188,4,4,0.00,4.92,0.00,N/A
104.21.101.170,4,4,0.00,4.92,0.00,N/A
172.66.204.213,4,4,0.00,4.92,0.00,N/A
104.20.62.105,4,4,0.00,4.92,0.00,N/A
172.67.251.189,4,4,0.00,4.92,0.00,N/A
104.21.201.241,4,4,0.00,4.92,0.00,N/A
104.16.7.99,4,4,0.00,4.92,0.00,N/A
104.20.43.239,4,4,0.00,4.92,0.00,N/A
172.65.209.219,4,4,0.00,4.92,0.00,N/A
104.16.84.118,4,4,0.00,4.92,0.00,N/A
172.67.152.135,4,4,0.00,4.92,0.00,N/A
104.19.64.9,4,4,0.00,4.92,0.00,N/A
172.65.163.184,4,4,0.00,4.92,0.00,N/A
104.16.104.176,4,4,0.00,4.93,0.00,N/A
104.25.123.36,4,4,0.00,4.93,0.00,N/A
104.25.243.176,4,4,0.00,4.93,0.00,N/A
172.66.211.88,4,4,0.00,4.93,0.00,N/A
104.17.238.138,4,4,0.00,4.93,0.00,N/A
104.21.199.190,4,4,0.00,4.93,0.00,N/A
198.41.209.110,4,4,0.00,4.93,0.00,N/A
172.65.86.177,4,4,0.00,4.93,0.00,N/A
104.16.173.42,4,4,0.00,4.93,0.00,N/A
104.20.49.204,4,4,0.00,4.93,0.00,N/A
104.18.10.57,4,4,0.00,4.93,0.00,N/A
104.21.239.191,4,4,0.00,4.93,0.00,N/A
104.27.105.20,4,4,0.00,4.93,0.00,N/A
104.18.112.243,4,4,0.00,4.93,0.00,N/A
104.18.188.176,4,4,0.00,4.93,0.00,N/A
104.19.28.212,4,4,0.00,4.93,0.00,N/A
104.16.178.70,4,4,0.00,4.93,0.00,N/A
104.18.141.0,4,4,0.00,4.93,0.00,N/A
104.25.157.24,4,4,0.00,4.93,0.00,N/A
172.65.180.75,4,4,0.00,4.93,0.00,N/A
104.21.74.3,4,4,0.00,4.93,0.00,N/A
172.64.95.123,4,4,0.00,4.93,0.00,N/A
172.65.69.193,4,4,0.00,4.93,0.00,N/A
104.16.218.229,4,4,0.00,4.93,0.00,N/A
104.16.68.166,4,4,0.00,4.93,0.00,N/A
162.159.91.151,4,4,0.00,4.93,0.00,N/A
172.66.148.146,4,4,0.00,4.93,0.00,N/A
172.67.96.33,4,4,0.00,4.93,0.00,N/A
172.64.156.108,4,4,0.00,4.93,0.00,N/A
104.27.198.68,4,4,0.00,4.93,0.00,N/A
172.65.56.90,4,4,0.00,4.93,0.00,N/A
104.18.36.158,4,4,0.00,4.93,0.00,N/A
104.24.23.5,4,4,0.00,4.93,0.00,N/A
104.21.210.98,4,4,0.00,4.93,0.00,N/A
104.27.89.52,4,4,0.00,4.93,0.00,N/A
104.16.99.65,4,4,0.00,4.93,0.00,N/A
104.18.121.27,4,4,0.00,4.93,0.00,N/A
104.25.160.243,4,4,0.00,4.93,0.00,N/A
172.67.213.160,4,4,0.00,4.93,0.00,N/A
104.21.119.214,4,4,0.00,4.93,0.00,N/A
104.27.193.211,4,4,0.00,4.93,0.00,N/A
104.16.81.117,4,4,0.00,4.94,0.00,N/A
162.159.32.116,4,4,0.00,4.94,0.00,N/A
162.159.43.128,4,4,0.00,4.94,0.00,N/A
104.16.182.168,4,4,0.00,4.94,0.00,N/A
104.27.24.130,4,4,0.00,4.94,0.00,N/A
172.66.208.63,4,4,0.00,4.94,0.00,N/A
104.24.67.247,4,4,0.00,4.94,0.00,N/A
104.18.254.200,4,4,0.00,4.94,0.00,N/A
104.19.55.76,4,4,0.00,4.94,0.00,N/A
104.20.36.183,4,4,0.00,4.94,0.00,N/A
104.16.159.91,4,4,0.00,4.94,0.00,N/A
172.66.173.127,4,4,0.00,4.94,0.00,N/A
172.66.166.97,4,4,0.00,4.94,0.00,N/A
104.25.133.119,4,4,0.00,4.94,0.00,N/A
104.17.117.93,4,4,0.00,4.94,0.00,N/A
104.16.185.232,4,4,0.00,4.94,0.00,N/A
104.16.199.133,4,4,0.00,4.94,0.00,N/A
104.21.73.116,4,4,0.00,4.94,0.00,N/A
162.159.141.118,4,4,0.00,4.94,0.00,N/A
104.21.64.204,4,4,0.00,4.94,0.00,N/A
104.16.181.62,4,4,0.00,4.94,0.00,N/A
104.18.61.239,4,4,0.00,4.94,0.00,N/A
172.65.119.50,4,4,0.00,4.94,0.00,N/A
104.16.249.215,4,4,0.00,4.94,0.00,N/A
172.65.179.152,4,4,0.00,4.94,0.00,N/A
172.65.62.136,4,4,0.00,4.94,0.00,N/A
104.21.4.153,4,4,0.00,4.94,0.00,N/A
172.66.131.17,4,4,0.00,4.94,0.00,N/A
104.16.150.189,4,4,0.00,4.94,0.00,N/A
104.25.236.252,4,4,0.00,4.94,0.00,N/A
172.64.184.101,4,4,0.00,4.94,0.00,N/A
104.25.205.107,4,4,0.00,4.94,0.00,N/A
104.24.9.186,4,4,0.00,4.94,0.00,N/A
104.18.157.211,4,4,0.00,4.94,0.00,N/A
172.67.199.224,4,4,0.00,4.94,0.00,N/A
104.16.110.32,4,4,0.00,4.94,0.00,N/A
104.21.221.59,4,4,0.00,4.94,0.00,N/A
104.17.31.111,4,4,0.00,4.94,0.00,N/A
162.159.11.216,4,4,0.00,4.94,0.00,N/A
104.25.117.7,4,4,0.00,4.94,0.00,N/A
172.67.147.146,4,4,0.00,4.94,0.00,N/A
104.25.200.123,4,4,0.00,4.94,0.00,N/A
172.65.127.38,4,4,0.00,4.94,0.00,N/A
172.65.4.145,4,4,0.00,4.94,0.00,N/A
172.66.199.41,4,4,0.00,4.94,0.00,N/A
172.67.181.33,4,4,0.00,4.94,0.00,N/A
104.17.9.251,4,4,0.00,4.94,0.00,N/A
172.67.64.9,4,4,0.00,4.95,0.00,N/A
104.21.218.117,4,4,0.00,4.95,0.00,N/A
162.159.198.94,4,4,0.00,4.95,0.00,N/A
104.21.53.190,4,4,0.00,4.95,0.00,N/A
172.65.164.184,4,4,0.00,4.95,0.00,N/A
172.64.145.78,4,4,0.00,4.95,0.00,N/A
172.65.8.159,4,4,0.00,4.95,0.00,N/A
104.25.228.43,4,4,0.00,4.95,0.00,N/A
104.24.13.165,4,4,0.00,4.95,0.00,N/A
104.16.149.250,4,4,0.00,4.95,0.00,N/A
104.18.169.72,4,4,0.00,4.95,0.00,N/A
104.20.54.158,4,4,0.00,4.95,0.00,N/A
172.66.138.172,4,4,0.00,4.95,0.00,N/A
104.20.17.33,4,4,0.00,4.95,0.00,N/A
104.21.62.10,4,4,0.00,4.95,0.00,N/A
104.24.88.1,4,4,0.00,4.95,0.00,N/A
172.64.33.211,4,4,0.00,4.95,0.00,N/A
172.65.1.210,4,4,0.00,4.95,0.00,N/A
104.18.231.138,4,4,0.00,4.95,0.00,N/A
104.24.60.179,4,4,0.00,4.95,0.00,N/A
104.16.251.4,4,4,0.00,4.95,0.00,N/A
104.17.41.119,4,4,0.00,4.95,0.00,N/A
104.16.246.16,4,4,0.00,4.95,0.00,N/A
172.66.172.226,4,4,0.00,4.95,0.00,N/A
104.16.239.205,4,4,0.00,4.95,0.00,N/A
172.67.99.243,4,4,0.00,4.95,0.00,N/A
104.27.31.132,4,4,0.00,4.95,0.00,N/A
172.64.50.132,4,4,0.00,4.95,0.00,N/A
104.16.80.201,4,4,0.00,4.95,0.00,N/A
104.27.88.131,4,4,0.00,4.95,0.00,N/A
104.18.194.33,4,4,0.00,4.95,0.00,N/A
104.21.192.253,4,4,0.00,4.95,0.00,N/A
104.24.134.108,4,4,0.00,4.95,0.00,N/A
104.21.78.63,4,4,0.00,4.95,0.00,N/A
104.18.116.237,4,4,0.00,4.95,0.00,N/A
104.17.57.51,4,4,0.00,4.95,0.00,N/A
104.25.202.184,4,4,0.00,4.95,0.00,N/A
104.25.241.250,4,4,0.00,4.95,0.00,N/A
104.24.45.101,4,4,0.00,4.95,0.00,N/A
104.25.254.227,4,4,0.00,4.95,0.00,N/A
104.18.185.244,4,4,0.00,4.95,0.00,N/A
104.16.227.1,4,4,0.00,4.95,0.00,N/A
172.67.67.81,4,4,0.00,4.95,0.00,N/A
104.16.165.194,4,4,0.00,4.95,0.00,N/A
104.18.193.44,4,4,0.00,4.95,0.00,N/A
172.65.208.152,4,4,0.00,4.95,0.00,N/A
104.24.27.217,4,4,0.00,4.95,0.00,N/A
104.19.135.198,4,4,0.00,4.95,0.00,N/A
104.18.179.99,4,4,0.00,4.95,0.00,N/A
162.159.95.15,4,4,0.00,4.95,0.00,N/A
104.18.22.151,4,4,0.00,4.95,0.00,N/A
104.19.83.220,4,4,0.00,4.95,0.00,N/A
104.27.70.72,4,4,0.00,4.96,0.00,N/A
104.18.195.171,4,4,0.00,4.96,0.00,N/A
104.16.61.70,4,4,0.00,4.96,0.00,N/A
172.67.242.230,4,4,0.00,4.96,0.00,N/A
104.27.11.123,4,4,0.00,4.96,0.00,N/A
172.65.212.175,4,4,0.00,4.96,0.00,N/A
104.21.20.76,4,4,0.00,4.96,0.00,N/A
104.25.244.250,4,4,0.00,4.96,0.00,N/A
104.16.156.149,4,4,0.00,4.96,0.00,N/A
104.27.205.15,4,4,0.00,4.96,0.00,N/A
104.18.126.6,4,4,0.00,4.96,0.00,N/A
104.18.114.172,4,4,0.00,4.96,0.00,N/A
104.16.164.1,4,4,0.00,4.96,0.00,N/A
172.67.157.127,4,4,0.00,4.96,0.00,N/A
104.24.18.196,4,4,0.00,4.96,0.00,N/A
104.18.174.11,4,4,0.00,4.96,0.00,N/A
104.27.124.225,4,4,0.00,4.96,0.00,N/A
104.21.207.57,4,4,0.00,4.96,0.00,N/A
172.67.187.21,4,4,0.00,4.96,0.00,N/A
104.16.116.33,4,4,0.00,4.96,0.00,N/A
104.21.118.49,4,4,0.00,4.96,0.00,N/A
172.67.121.106,4,4,0.00,4.96,0.00,N/A
172.67.249.86,4,4,0.00,4.96,0.00,N/A
104.16.238.69,4,4,0.00,4.96,0.00,N/A
104.24.95.254,4,4,0.00,4.96,0.00,N/A
104.18.120.16,4,4,0.00,4.96,0.00,N/A
104.17.26.1,4,4,0.00,4.96,0.00,N/A
104.16.163.124,4,4,0.00,4.96,0.00,N/A
172.65.252.25,4,4,0.00,4.96,0.00,N/A
172.64.151.212,4,4,0.00,4.96,0.00,N/A
104.18.178.173,4,4,0.00,4.96,0.00,N/A
104.27.84.200,4,4,0.00,4.96,0.00,N/A
172.67.127.202,4,4,0.00,4.96,0.00,N/A
104.25.255.51,4,4,0.00,4.96,0.00,N/A
172.67.252.239,4,4,0.00,4.96,0.00,N/A
162.159.136.126,4,4,0.00,4.96,0.00,N/A
172.67.227.14,4,4,0.00,4.96,0.00,N/A
172.65.225.36,4,4,0.00,4.96,0.00,N/A
172.65.249.239,4,4,0.00,4.96,0.00,N/A
172.65.63.147,4,4,0.00,4.96,0.00,N/A
104.19.137.29,4,4,0.00,4.96,0.00,N/A
172.67.202.181,4,4,0.00,4.96,0.00,N/A
172.67.111.130,4,4,0.00,4.96,0.00,N/A
172.65.151.146,4,4,0.00,4.96,0.00,N/A
104.19.254.254,4,4,0.00,4.96,0.00,N/A
104.21.34.76,4,4,0.00,4.96,0.00,N/A
104.21.57.238,4,4,0.00,4.96,0.00,N/A
162.159.57.27,4,4,0.00,4.96,0.00,N/A
162.159.158.86,4,4,0.00,4.96,0.00,N/A
172.65.184.40,4,4,0.00,4.96,0.00,N/A
104.24.15.194,4,4,0.00,4.96,0.00,N/A
172.64.150.220,4,4,0.00,4.96,0.00,N/A
104.19.102.106,4,4,0.00,4.96,0.00,N/A
104.17.52.78,4,4,0.00,4.96,0.00,N/A
162.159.81.24,4,4,0.00,4.96,0.00,N/A
104.27.65.216,4,4,0.00,4.96,0.00,N/A
104.19.41.208,4,4,0.00,4.96,0.00,N/A
104.18.107.218,4,4,0.00,4.97,0.00,N/A
104.26.0.235,4,4,0.00,4.97,0.00,N/A
104.21.206.221,4,4,0.00,4.97,0.00,N/A
104.21.7.59,4,4,0.00,4.97,0.00,N/A
104.27.20.250,4,4,0.00,4.97,0.00,N/A
162.159.132.12,4,4,0.00,4.97,0.00,N/A
104.18.77.170,4,4,0.00,4.97,0.00,N/A
104.18.245.201,4,4,0.00,4.97,0.00,N/A
172.67.98.195,4,4,0.00,4.97,0.00,N/A
172.67.250.203,4,4,0.00,4.97,0.00,N/A
172.66.174.0,4,4,0.00,4.97,0.00,N/A
104.24.21.22,4,4,0.00,4.97,0.00,N/A
104.16.124.54,4,4,0.00,4.97,0.00,N/A
104.21.75.88,4,4,0.00,4.97,0.00,N/A
104.16.64.78,4,4,0.00,4.97,0.00,N/A
172.65.85.9,4,4,0.00,4.97,0.00,N/A
172.65.5.111,4,4,0.00,4.97,0.00,N/A
104.19.161.1,4,4,0.00,4.97,0.00,N/A
104.25.144.157,4,4,0.00,4.97,0.00,N/A
172.67.69.57,4,4,0.00,4.97,0.00,N/A
104.21.18.104,4,4,0.00,4.97,0.00,N/A
104.16.192.174,4,4,0.00,4.97,0.00,N/A
104.16.139.184,4,4,0.00,4.97,0.00,N/A
172.65.6.73,4,4,0.00,4.97,0.00,N/A
104.18.226.48,4,4,0.00,4.97,0.00,N/A
104.16.200.28,4,4,0.00,4.97,0.00,N/A
172.65.19.70,4,4,0.00,4.97,0.00,N/A
104.21.68.182,4,4,0.00,4.97,0.00,N/A
104.17.255.30,4,4,0.00,4.97,0.00,N/A
172.67.220.227,4,4,0.00,4.97,0.00,N/A
172.67.83.237,4,4,0.00,4.97,0.00,N/A
104.16.151.163,4,4,0.00,4.97,0.00,N/A
104.27.126.0,4,4,0.00,4.97,0.00,N/A
104.19.86.2,4,4,0.00,4.97,0.00,N/A
104.16.234.150,4,4,0.00,4.97,0.00,N/A
162.159.35.210,4,4,0.00,4.97,0.00,N/A
104.16.123.133,4,4,0.00,4.97,0.00,N/A
172.66.143.153,4,4,0.00,4.97,0.00,N/A
104.24.0.98,4,4,0.00,4.97,0.00,N/A
104.17.6.85,4,4,0.00,4.97,0.00,N/A
104.21.224.27,4,4,0.00,4.97,0.00,N/A
104.24.87.221,4,4,0.00,4.97,0.00,N/A
162.159.49.121,4,4,0.00,4.97,0.00,N/A
172.65.122.179,4,4,0.00,4.97,0.00,N/A
172.65.193.168,4,4,0.00,4.98,0.00,N/A
104.24.136.173,4,4,0.00,4.98,0.00,N/A
104.21.231.73,4,4,0.00,4.98,0.00,N/A
162.159.44.149,4,4,0.00,4.98,0.00,N/A
104.21.232.85,4,4,0.00,4.98,0.00,N/A
172.67.131.179,4,4,0.00,4.98,0.00,N/A
104.18.91.252,4,4,0.00,4.98,0.00,N/A
172.64.153.145,4,4,0.00,4.98,0.00,N/A
104.27.121.237,4,4,0.00,4.98,0.00,N/A
172.66.200.184,4,4,0.00,4.98,0.00,N/A
104.24.82.140,4,4,0.00,4.98,0.00,N/A
172.67.194.121,4,4,0.00,4.98,0.00,N/A
104.27.68.231,4,4,0.00,4.98,0.00,N/A
104.18.168.52,4,4,0.00,4.98,0.00,N/A
104.24.54.71,4,4,0.00,4.98,0.00,N/A
104.21.81.63,4,4,0.00,4.98,0.00,N/A
172.67.100.51,4,4,0.00,4.98,0.00,N/A
104.18.241.113,4,4,0.00,4.98,0.00,N/A
172.64.187.131,4,4,0.00,4.98,0.00,N/A
172.64.36.218,4,4,0.00,4.98,0.00,N/A
104.19.93.43,4,4,0.00,4.98,0.00,N/A
104.27.91.218,4,4,0.00,4.98,0.00,N/A
104.18.106.235,4,4,0.00,4.98,0.00,N/A
162.159.146.103,4,4,0.00,4.98,0.00,N/A
104.27.29.207,4,4,0.00,4.98,0.00,N/A
104.19.115.60,4,4,0.00,4.98,0.00,N/A
172.67.122.45,4,4,0.00,4.98,0.00,N/A
172.67.72.74,4,4,0.00,4.98,0.00,N/A
104.25.107.234,4,4,0.00,4.98,0.00,N/A
104.24.30.148,4,4,0.00,4.98,0.00,N/A
172.65.112.118,4,4,0.00,4.98,0.00,N/A
104.24.28.113,4,4,0.00,4.98,0.00,N/A
104.19.27.230,4,4,0.00,4.98,0.00,N/A
104.24.57.43,4,4,0.00,4.98,0.00,N/A
104.16.158.9,4,4,0.00,4.98,0.00,N/A
104.21.13.170,4,4,0.00,4.98,0.00,N/A
162.159.56.158,4,4,0.00,4.98,0.00,N/A
104.16.183.90,4,4,0.00,4.98,0.00,N/A
172.64.83.52,4,4,0.00,4.98,0.00,N/A
172.67.163.117,4,4,0.00,4.98,0.00,N/A
104.27.57.187,4,4,0.00,4.98,0.00,N/A
172.67.245.33,4,4,0.00,4.98,0.00,N/A
172.67.235.31,4,4,0.00,4.98,0.00,N/A
172.67.210.242,4,4,0.00,4.98,0.00,N/A
104.16.193.222,4,4,0.00,4.98,0.00,N/A
172.67.73.230,4,4,0.00,4.98,0.00,N/A
104.18.14.163,4,4,0.00,4.98,0.00,N/A
104.24.62.56,4,4,0.00,4.98,0.00,N/A
104.16.230.76,4,4,0.00,4.98,0.00,N/A
104.24.170.153,4,4,0.00,4.98,0.00,N/A
104.17.48.104,4,4,0.00,4.98,0.00,N/A
104.16.54.170,4,4,0.00,4.98,0.00,N/A
104.18.88.74,4,4,0.00,4.98,0.00,N/A
104.24.196.218,4,4,0.00,4.98,0.00,N/A
104.16.179.51,4,4,0.00,4.98,0.00,N/A
104.18.115.240,4,4,0.00,4.98,0.00,N/A
188.114.97.231,4,4,0.00,4.98,0.00,N/A
172.67.180.192,4,4,0.00,4.98,0.00,N/A
104.21.59.61,4,4,0.00,4.98,0.00,N/A
172.64.90.148,4,4,0.00,4.98,0.00,N/A
104.19.35.128,4,4,0.00,4.98,0.00,N/A
104.16.89.240,4,4,0.00,4.98,0.00,N/A
172.65.254.100,4,4,0.00,4.98,0.00,N/A
104.19.49.18,4,4,0.00,4.98,0.00,N/A
104.27.10.88,4,4,0.00,4.98,0.00,N/A
172.67.178.134,4,4,0.00,4.99,0.00,N/A
104.16.203.25,4,4,0.00,4.99,0.00,N/A
104.16.112.226,4,4,0.00,4.99,0.00,N/A
104.24.61.108,4,4,0.00,4.99,0.00,N/A
104.21.3.31,4,4,0.00,4.99,0.00,N/A
104.27.196.133,4,4,0.00,4.99,0.00,N/A
104.27.2.175,4,4,0.00,4.99,0.00,N/A
104.24.52.227,4,4,0.00,4.99,0.00,N/A
172.67.158.76,4,4,0.00,4.99,0.00,N/A
104.19.96.168,4,4,0.00,4.99,0.00,N/A
104.17.21.91,4,4,0.00,4.99,0.00,N/A
172.64.189.1,4,4,0.00,4.99,0.00,N/A
104.19.54.221,4,4,0.00,4.99,0.00,N/A
104.16.140.104,4,4,0.00,4.99,0.00,N/A
104.24.94.48,4,4,0.00,4.99,0.00,N/A
104.16.253.142,4,4,0.00,4.99,0.00,N/A
104.25.212.232,4,4,0.00,4.99,0.00,N/A
172.67.135.45,4,4,0.00,4.99,0.00,N/A
104.19.236.12,4,4,0.00,4.99,0.00,N/A
104.27.40.119,4,4,0.00,4.99,0.00,N/A
162.159.139.42,4,4,0.00,4.99,0.00,N/A
104.16.131.11,4,4,0.00,4.99,0.00,N/A
104.16.180.79,4,4,0.00,4.99,0.00,N/A
172.67.173.189,4,4,0.00,4.99,0.00,N/A
104.18.150.117,4,4,0.00,4.99,0.00,N/A
104.21.223.79,4,4,0.00,4.99,0.00,N/A
104.17.136.20,4,4,0.00,4.99,0.00,N/A
172.67.119.141,4,4,0.00,4.99,0.00,N/A
104.21.204.32,4,4,0.00,4.99,0.00,N/A
172.67.179.109,4,4,0.00,4.99,0.00,N/A
104.16.184.92,4,4,0.00,4.99,0.00,N/A
104.24.25.93,4,4,0.00,4.99,0.00,N/A
104.16.155.239,4,4,0.00,4.99,0.00,N/A
104.16.214.81,4,4,0.00,4.99,0.00,N/A
104.18.184.37,4,4,0.00,4.99,0.00,N/A
104.18.117.234,4,4,0.00,4.99,0.00,N/A
172.67.81.60,4,4,0.00,4.99,0.00,N/A
104.16.176.2,4,4,0.00,4.99,0.00,N/A
172.67.109.197,4,4,0.00,4.99,0.00,N/A
104.21.45.81,4,4,0.00,4.99,0.00,N/A
104.25.174.158,4,4,0.00,4.99,0.00,N/A
172.65.250.253,4,4,0.00,4.99,0.00,N/A
172.65.59.124,4,4,0.00,4.99,0.00,N/A
104.18.85.156,4,4,0.00,4.99,0.00,N/A
104.25.139.100,4,4,0.00,4.99,0.00,N/A
104.18.192.117,4,4,0.00,4.99,0.00,N/A
172.64.186.63,4,4,0.00,4.99,0.00,N/A
104.17.251.63,4,4,0.00,4.99,0.00,N/A
104.17.0.103,4,4,0.00,4.99,0.00,N/A
104.27.77.39,4,4,0.00,4.99,0.00,N/A
172.64.144.221,4,4,0.00,4.99,0.00,N/A
104.19.149.249,4,4,0.00,4.99,0.00,N/A
104.16.75.198,4,4,0.00,4.99,0.00,N/A
104.16.237.232,4,4,0.00,4.99,0.00,N/A
172.66.0.236,4,4,0.00,4.99,0.00,N/A
104.18.139.9,4,4,0.00,4.99,0.00,N/A
104.21.67.135,4,4,0.00,4.99,0.00,N/A
104.16.226.240,4,4,0.00,5.00,0.00,N/A
104.18.255.15,4,4,0.00,5.00,0.00,N/A
172.67.82.178,4,4,0.00,5.00,0.00,N/A
104.18.144.121,4,4,0.00,5.00,0.00,N/A
104.21.83.153,4,4,0.00,5.00,0.00,N/A
172.65.93.95,4,4,0.00,5.00,0.00,N/A
104.18.137.16,4,4,0.00,5.00,0.00,N/A
162.159.92.184,4,4,0.00,5.00,0.00,N/A
104.25.48.120,4,4,0.00,5.00,0.00,N/A
104.16.109.28,4,4,0.00,5.00,0.00,N/A
104.16.117.173,4,4,0.00,5.00,0.00,N/A
104.19.120.1,4,4,0.00,5.00,0.00,N/A
162.159.129.200,4,4,0.00,5.00,0.00,N/A
172.64.77.251,4,4,0.00,5.00,0.00,N/A
104.18.220.73,4,4,0.00,5.00,0.00,N/A
172.65.191.12,4,4,0.00,5.00,0.00,N/A
104.17.1.186,4,4,0.00,5.00,0.00,N/A
172.66.203.149,4,4,0.00,5.00,0.00,N/A
172.67.166.140,4,4,0.00,5.00,0.00,N/A
104.21.100.93,4,4,0.00,5.00,0.00,N/A
162.159.8.109,4,4,0.00,5.00,0.00,N/A
104.27.127.1,4,4,0.00,5.00,0.00,N/A
104.18.198.1,4,4,0.00,5.00,0.00,N/A
104.18.177.161,4,4,0.00,5.00,0.00,N/A
104.20.21.238,4,4,0.00,5.00,0.00,N/A
104.17.49.63,4,4,0.00,5.00,0.00,N/A
104.24.89.55,4,4,0.00,5.00,0.00,N/A
104.25.203.167,4,4,0.00,5.00,0.00,N/A
172.65.109.120,4,4,0.00,5.00,0.00,N/A
104.18.167.152,4,4,0.00,5.00,0.00,N/A
104.17.139.249,4,4,0.00,5.00,0.00,N/A
104.27.204.197,4,4,0.00,5.00,0.00,N/A
172.66.175.223,4,4,0.00,5.00,0.00,N/A
162.159.229.134,4,4,0.00,5.00,0.00,N/A
104.16.57.89,4,4,0.00,5.00,0.00,N/A
104.25.110.11,4,4,0.00,5.00,0.00,N/A
104.16.50.243,4,4,0.00,5.00,0.00,N/A
172.65.52.140,4,4,0.00,5.00,0.00,N/A
104.18.162.217,4,4,0.00,5.00,0.00,N/A
172.65.39.132,4,4,0.00,5.00,0.00,N/A
172.65.182.206,4,4,0.00,5.00,0.00,N/A
172.66.152.114,4,4,0.00,5.00,0.00,N/A
172.66.164.110,4,4,0.00,5.00,0.00,N/A
104.16.252.106,4,4,0.00,5.00,0.00,N/A
172.65.219.144,4,4,0.00,5.00,0.00,N/A
172.65.130.224,4,4,0.00,5.00,0.00,N/A
